experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
D3_hybrid_plus_token_distance,Hybrid-ISG-GTN,Hybrid: Edge concat + POS + Lap PE + Token distance,0.7814217662147307,0.7724545224229206,0.8060644924880909,0.8036195663853043,0.0,0.7368344692287461,SUCCESS,0212e536c81844bb8ce32c771ed6875d
A1_minimal_baseline,Vanilla-GTN-NoEdge,"Minimal Baseline: LLM embeddings only, no edges, no PEs",0.772031879809454,0.7618274352451336,0.7978197141810187,0.79604944321287,0.0,0.730792892069985,SUCCESS,62d74018bf154d4db1790182cef46949
D4_hybrid_plus_structural_pe,Hybrid-ISG-GTN,Hybrid: Edge concat + All PEs + Token distance,0.7721692927812386,0.7610179859852859,0.8017130817149138,0.7996243724791354,0.0,0.7464851094936704,SUCCESS,f7da87c2fd2f4e83bc5f801022fd75b6
E3_hybrid_minus_structural_pe,Hybrid-ISG-GTN,Hybrid Full - ISG structural PEs,0.7642909490655918,0.75338046056703,0.79200256504214,0.7895200794664143,0.0,0.7369630645387124,SUCCESS,103bbd55c5544a1bac417c6e9d524aa5
D2_hybrid_plus_pos,Hybrid-ISG-GTN,Hybrid: Edge concat + POS tags + Lap PE,0.7637871015023818,0.7509696435675317,0.809683034078417,0.8080413359185352,0.0,0.7330396394806793,SUCCESS,27f728fafc8f4535a552b396228ddcf6
D5_hybrid_full,Hybrid-ISG-GTN,Hybrid FULL: Everything enabled (edge concat + all ISG features),0.7632374496152436,0.7506078598178374,0.7958043239281788,0.7935447261705522,0.0,0.7228561007390335,SUCCESS,ca4ed5cb3dfa4d86be97a5009f2aafc5
C5_all_pe_combined,ISG-VanillaGTN,ISG: All PEs (Standard + ISG Structural),0.7634664712348845,0.749926819393386,0.8047361670941737,0.8027154166819543,0.0,0.732900345788117,SUCCESS,d022e994036741cebfb0e4db36396cbd
B1_vanilla_gtn_no_edges,Vanilla-GTN-NoEdge,"Vanilla GTN LEFT: No edge features, Lap PE only",0.7605807988274093,0.7473558761533026,0.7961707585196043,0.7936478795168216,0.0,0.7266102824285958,SUCCESS,631254ab53b847c491ac64268e1efcc9
A2_baseline_with_lap_pe,Vanilla-GTN-NoEdge,Baseline + Laplacian PE (like paper LEFT diagram),0.7605807988274093,0.7473558761533026,0.7961707585196043,0.7936478795168216,0.0,0.7266102824285958,SUCCESS,fe61428665514bb2b3df8db8cad20db0
C1_pos_tags_only,ISG-VanillaGTN,ISG: POS tags + dependency embeddings only,0.7577409307438622,0.744063258236586,0.7994228655185049,0.797301316787038,0.0,0.7261321628769667,SUCCESS,2ffb28d8adb945f1a11f839c3473ee19
C4_all_standard_pe,ISG-VanillaGTN,ISG: All standard PEs (Lap + Degree),0.7559545621106633,0.7418098392440358,0.7922315866617808,0.7899446499748201,0.0,0.7084302075623438,SUCCESS,de57b835799c45709d35942d34228643
A0_build_graph_extract_feat,ISG-VanillaGTN,Hybrid Full - build_graph_extract_feat,0.7565500183217295,0.7417585424830762,0.7951630633931843,0.7941810872941468,0.0,0.7374977970338978,SUCCESS,a2b0a3b6d67a462db34ef595b0622c9a
C2_token_distance_only,ISG-VanillaGTN,ISG: Token distance gating only,0.7550384756320997,0.7401974283096878,0.8016672773909858,0.7995495714798448,0.0,0.7267131333499786,SUCCESS,4ed46544c7fd4b6d8654c94d175afbef
E4_hybrid_minus_global_pooling,Hybrid-ISG-GTN,Hybrid Full - Global pooling,0.7501832172957127,0.7349123007242659,0.7821546353975816,0.7813234358155751,0.0,0.7466718456903576,SUCCESS,5fb072f5d3f74b70adf52523e04e782c
E2_hybrid_minus_token_distance,Hybrid-ISG-GTN,Hybrid Full - Token distance,0.7492671308171491,0.7329666528778365,0.8001099303774276,0.7979214134795573,0.0,0.7218581051704005,SUCCESS,39dea3d061ab49d2aa1ce0fc0d57f885
D1_hybrid_edge_concat_only,Hybrid-ISG-GTN,Hybrid: Edge concat only (like Vanilla RIGHT),0.7487632832539391,0.7325137695181,0.7976823012092341,0.7963724505541812,0.0,0.711614356869891,SUCCESS,60bed96bc9894ed48cc27e60663f5d96
C7_pooling_global,ISG-VanillaGTN,ISG: Hierarchical global pooling,0.7463356540857456,0.7295434271609859,0.7919567607182117,0.7884594136422419,0.0,0.7352441014527664,SUCCESS,7fceae6c1b7744c28bc751963a3c1ac0
C3_isg_structural_pe_only,ISG-VanillaGTN,"ISG: Structural PEs only (root_depth, betweenness, clustering, dep_diversity)",0.7454653719311103,0.7280485505792702,0.8061561011359473,0.8045972203116375,0.0,0.7086876200229622,SUCCESS,0d8738c0b9e241efb528c24c9e315feb
B2_vanilla_gtn_edge_concat,Vanilla-GTN-EdgeConcat,Vanilla GTN RIGHT: Edge concat to source nodes,0.7437706119457677,0.7262174747057372,0.7926438255771345,0.7894352208209485,0.0,0.6999215359857159,SUCCESS,3b7a66a0d7ad4ce48297fbc9d350241f
E5_hybrid_minus_edge_concat,ISG-VanillaGTN,Hybrid Full - Edge concat (use ISG model instead),0.741572004397215,0.7237860098073523,0.7954836936606816,0.7933293654699329,0.0,0.7198363502534051,SUCCESS,f7337a6f931549e8ba8f976b2f170d9f
C8_isg_full_original,ISG-VanillaGTN,ISG-GTN FULL: All ISG features enabled,0.741572004397215,0.7237860098073523,0.7954836936606816,0.7933293654699329,0.0,0.7198363502534051,SUCCESS,40317658225942d7a019e110e95ab74a
C6_pooling_attention,ISG-VanillaGTN,ISG: Attention pooling instead of mean,0.7386405276658117,0.7209840945778363,0.7762000732869183,0.7746511660116093,0.0,0.7199603792991514,SUCCESS,ba6bd356d0c541afafcdabf915dc37e4
E1_hybrid_minus_pos,Hybrid-ISG-GTN,Hybrid Full - POS tags,0.7356174422865519,0.7158670304743204,0.7947508244778307,0.7931291037834902,0.0,0.720329178367601,SUCCESS,0c240c79c74e4094ac053946e767a889
