experiment,gnn_type,description,test_accuracy,test_f1,best_accuracy,best_f1,val_accuracy,val_f1,status,mlflow_run_id
D2_hybrid_plus_pos,Hybrid-ISG-GTN,Hybrid: Edge concat + POS tags + Lap PE,0.7853523721787194,0.7838831923438434,0.798710271764164,0.7986485835446646,0.0,0.7082820197044335,SUCCESS,91f2f154d57444b38dc25094984442a5
D3_hybrid_plus_token_distance,Hybrid-ISG-GTN,Hybrid: Edge concat + POS + Lap PE + Token distance,0.7825886688162137,0.7808567679328793,0.7894979272224781,0.7891514966431814,0.0,0.7007242313802449,SUCCESS,5724a3ad69a34839a75d12c282f1256c
D1_hybrid_edge_concat_only,Hybrid-ISG-GTN,Hybrid: Edge concat only (like Vanilla RIGHT),0.7789037309995394,0.7766725130257223,0.7858129894058038,0.7846724926876121,0.0,0.712192925954859,SUCCESS,2601600d8a3b44278db49542cc06fbef
C2_token_distance_only,ISG-VanillaGTN,ISG: Token distance gating only,0.7709573980760421,0.7691151111885781,0.7792029317453046,0.7787102934248604,0.0,0.7190745338011353,SUCCESS,6f3515728eff4763a1e334fa41ac849b
B2_vanilla_gtn_edge_concat,Vanilla-GTN-EdgeConcat,Vanilla GTN RIGHT: Edge concat to source nodes,0.7706126209120221,0.7669271125260633,0.7825886688162137,0.7815034738984253,0.0,0.7103184713375796,SUCCESS,ae6882f51e1f4f32884d23b2a128319e
A0_minimal_baseline,Vanilla-GTN-NoEdge,"Minimal Baseline: LLM embeddings only, no edges, no PEs",0.766376546037563,0.7659698714035628,0.766376546037563,0.7659698714035628,0.0,0.7131423610668692,SUCCESS,31596e6025a1409f966b49cf83e88550
B1_vanilla_gtn_no_edges,Vanilla-GTN-NoEdge,"Vanilla GTN LEFT: No edge features, Lap PE only",0.7655458314140949,0.7622920263082889,0.7770612620912022,0.776116897063085,0.0,0.7001314015464772,SUCCESS,865ea7a9c525458eba61ad0caeb2e097
C3_isg_structural_pe_only,ISG-VanillaGTN,"ISG: Structural PEs only (root_depth, betweenness, clustering, dep_diversity)",0.7654603756298671,0.7620059961842464,0.7704993128721942,0.7682301958980112,0.0,0.719861065051577,SUCCESS,ebf7446b25a14e0b84f31b498804f86e
A1_baseline_with_lap_pe,Vanilla-GTN-NoEdge,Baseline + Laplacian PE (like paper LEFT diagram),0.7650852141870106,0.7617989353334699,0.776600644864118,0.7756408002681396,0.0,0.7009757236227825,SUCCESS,2bc6b665024842508866ad8dd04db1c6
C1_pos_tags_only,ISG-VanillaGTN,ISG: POS tags + dependency embeddings only,0.760879523591388,0.7549705756372125,0.7741639945029776,0.7722135973086036,0.0,0.7143255295429208,SUCCESS,888180d5c96745eea4453f1a2342994f
D4_hybrid_plus_structural_pe,Hybrid-ISG-GTN,Hybrid: Edge concat + All PEs + Token distance,0.7595578074619991,0.7549089068825912,0.7692307692307693,0.7673343921964993,0.0,0.7159264432029795,SUCCESS,4a94173812df48eea72a514f1b0ea714
C4_all_standard_pe,ISG-VanillaGTN,ISG: All standard PEs (Lap + Degree),0.7600184246890834,0.7547566551325562,0.7761400276370336,0.7751369502171256,0.0,0.7193120532304385,SUCCESS,96f6a312da3747bea08f00c390924aa2
C5_all_pe_combined,ISG-VanillaGTN,ISG: All PEs (Standard + ISG Structural),0.7590971902349147,0.7536094386933043,0.7678489175495163,0.7650489406219186,0.0,0.7201085610245486,SUCCESS,7d3fb40900f344b5b5480147f15f2e76
E3_hybrid_minus_structural_pe,Hybrid-ISG-GTN,Hybrid Full - ISG structural PEs,0.7457392906494703,0.7384264271395744,0.7618608935974206,0.759654704937519,0.0,0.7015653658845108,SUCCESS,eb1883e1a8d44feeb357c043ac81c7a9
D5_hybrid_full,Hybrid-ISG-GTN,Hybrid FULL: Everything enabled (edge concat + all ISG features),0.730999539382773,0.7222651574496124,0.751727314601566,0.7504053194809095,0.0,0.7123870206822341,SUCCESS,7125af986f0544abb88f5bd4abbfae34
E4_hybrid_minus_global_pooling,Hybrid-ISG-GTN,Hybrid Full - Global pooling,0.7277752187931829,0.722257422441962,0.7480423767848917,0.7452512426140474,0.0,0.6876689231857334,SUCCESS,512d965fdc76433684b3a6238a0752c4
E5_hybrid_minus_edge_concat,ISG-VanillaGTN,Hybrid Full - Edge concat (use ISG model instead),0.7227084292952557,0.7106609885516733,0.7508060801473975,0.7471799908774699,0.0,0.7096617484943417,SUCCESS,2592adac7359493dbf62630642495892
C8_isg_full_original,ISG-VanillaGTN,ISG-GTN FULL: All ISG features enabled,0.7204053431598342,0.7077366572209813,0.7508060801473975,0.7471799908774699,0.0,0.704265956452668,SUCCESS,2872d6810a3a426d8cfa5c19a715b5a3
E1_hybrid_minus_pos,Hybrid-ISG-GTN,Hybrid Full - POS tags,0.7217871948410871,0.7070458205319308,0.7558728696453247,0.7534548842343802,0.0,0.7008654149720505,SUCCESS,2798b866cf8c42ba9e14ced1f540518a
C6_pooling_attention,ISG-VanillaGTN,ISG: Attention pooling instead of mean,0.7162597881160755,0.7036986488330831,0.734223859972363,0.7310456474387258,0.0,0.7089247258441889,SUCCESS,1dfef047c3884047958e98bd8f45664b
C7_pooling_global,ISG-VanillaGTN,ISG: Hierarchical global pooling,0.7116536158452326,0.6999368541905855,0.7512666973744818,0.7510295721668926,0.0,0.7117982427242038,SUCCESS,04aac7bcaaa9462e9d661d8e2bf402cb
E2_hybrid_minus_token_distance,Hybrid-ISG-GTN,Hybrid Full - Token distance,0.7005988023952096,0.6828927711731405,0.7277752187931829,0.7253622877690507,0.0,0.6997062061325088,SUCCESS,2f097aaf940d47c897c786ceb0ba6d5d
